hidden_size,batch_size,learning_rate,train_errors,val_errors,test_errors,min_val_error,best_test_error,best_epoch,best_test_accuracy,best_test_error_pct
100,50,0.01,"[0.2415685609858483, 0.14130303862073926, 0.12423797742906026, 0.11170212549425196, 0.1000607645016862]","[0.18255815077340232, 0.15029746159911156, 0.16794695654534736, 0.16693712119711562, 0.16483977910487738]","[0.17595457999253994, 0.1478508578241599, 0.1699936689910828, 0.1646596222637163, 0.14577403420802967]",0.15029746159911156,0.1478508578241599,1,96.45,3.549999999999997
100,50,0.001,"[0.3630132198035717, 0.17002484876010568, 0.12016823571082205, 0.0912986287465319, 0.07188157547381707]","[0.21834056178107858, 0.16024394934996963, 0.14365576886571943, 0.1278975535929203, 0.10580313079524785]","[0.20025101697072387, 0.14289805107749998, 0.12143472855444998, 0.10378859060467222, 0.08972213403583737]",0.10580313079524785,0.08972213403583737,4,97.37,2.6299999999999955
100,50,0.0001,"[0.9476883580088615, 0.39206410077959297, 0.32325980088114736, 0.2912554206326604, 0.26917569513618944]","[0.4705297550559044, 0.3546395066380501, 0.3174762186780572, 0.29471717234700917, 0.27568110171705484]","[0.4471464904397726, 0.33303329212591054, 0.29661200573667884, 0.2737841858621687, 0.256065405132249]",0.27568110171705484,0.256065405132249,4,92.64,7.359999999999999
100,100,0.01,"[0.243217782728374, 0.12103425432555377, 0.09454002329520882, 0.08727086399984546, 0.07364070161618293]","[0.1410034292563796, 0.12254248144105077, 0.14285258857533337, 0.1461709823831916, 0.143856115443632]","[0.13411082311882638, 0.11692436188459396, 0.14476751742331545, 0.13086132139724213, 0.13235404831866618]",0.12254248144105077,0.11692436188459396,1,96.82,3.180000000000007
100,100,0.001,"[0.4361749433875084, 0.207877535328269, 0.15352320037409664, 0.12008872758969664, 0.0973114699833095]","[0.2565685026347637, 0.1912246586382389, 0.1629162310436368, 0.1406226059049368, 0.12179664978757501]","[0.2394471121765673, 0.173607645095326, 0.14208865350810812, 0.12193449706304818, 0.10661454457323999]",0.12179664978757501,0.10661454457323999,4,96.91,3.0900000000000034
100,100,0.0001,"[1.233016533792019, 0.4988046090900898, 0.380189479470253, 0.3332791517674923, 0.30646707671880724]","[0.6366258722543716, 0.42461038440465926, 0.36174424543976785, 0.330579314827919, 0.30973924353718757]","[0.6115277391672135, 0.40187940768897534, 0.3405551266297698, 0.3080828621610999, 0.2885249315947294]",0.30973924353718757,0.2885249315947294,4,91.93,8.069999999999993
100,200,0.01,"[0.2751048076450825, 0.1149648234397173, 0.08361220451444387, 0.06482656574249268, 0.05677719289809465]","[0.15055928349494935, 0.12130642019212245, 0.13073866531252862, 0.12887040704488753, 0.12750360175967215]","[0.13604837244376541, 0.1091616143193096, 0.11925791171379388, 0.11285438052844256, 0.11508135251700878]",0.12130642019212245,0.1091616143193096,1,96.91,3.0900000000000034
100,200,0.001,"[0.5469348914027214, 0.25502185013890266, 0.20119083023071288, 0.16322682157158852, 0.13631221795082094]","[0.3027566123008728, 0.2382035619020462, 0.20612716615200044, 0.17529699862003326, 0.15486262664198874]","[0.28261907506734135, 0.21996494840830563, 0.18595162682235242, 0.15411083217710256, 0.13663318926468493]",0.15486262664198874,0.13663318926468493,4,95.82,4.180000000000007
100,200,0.0001,"[1.590269665002823, 0.7270953367948532, 0.4978892723321915, 0.4104578719139099, 0.36489090937376023]","[0.9770917427539826, 0.5768102633953095, 0.45100717365741727, 0.39343292117118833, 0.35977785766124726]","[0.9534212851524353, 0.5525014013051986, 0.42845080465078356, 0.36981067910790444, 0.33751031532883646]",0.35977785766124726,0.33751031532883646,4,90.99,9.010000000000005
300,50,0.01,"[0.23951824577152728, 0.14450846699206157, 0.1255746127368766, 0.10621349352410471, 0.10259594069021113]","[0.18751974539831281, 0.16774520838516765, 0.16179740064544604, 0.1695816618797835, 0.17952950482955202]","[0.16321853027911856, 0.18193711498490303, 0.15622950827853857, 0.15600764758775768, 0.16322107366708224]",0.16179740064544604,0.15622950827853857,2,96.67,3.3299999999999983
300,50,0.001,"[0.29965678609907626, 0.1252192835751921, 0.08289925756771117, 0.05929468193394132, 0.044314668270759285]","[0.1912192152440548, 0.1151760407583788, 0.09754113481147214, 0.0922782314219512, 0.08615729073877447]","[0.1731817351328209, 0.10535062858194578, 0.08693235199229093, 0.07704481851120364, 0.07336633434970281]",0.08615729073877447,0.07336633434970281,4,97.72,2.280000000000001
300,50,0.0001,"[0.727882001683116, 0.3201401506140828, 0.26653793567419054, 0.23275733139365912, 0.20700358333811164]","[0.3747317436337471, 0.2989517593383789, 0.2622727654501796, 0.23523229582235217, 0.21666032660752535]","[0.3530591827817261, 0.2776896854210645, 0.242261717566289, 0.2161330354074016, 0.19727646101731808]",0.21666032660752535,0.19727646101731808,4,94.25,5.75
300,100,0.01,"[0.22595707415044308, 0.1160862435521558, 0.09865521404892207, 0.08474234228150454, 0.07690918256039732]","[0.16038698833435774, 0.14426977094262838, 0.16590194297954441, 0.1373308732174337, 0.17968443056102842]","[0.13917246158700436, 0.12665705444989725, 0.15415966221393318, 0.12100497305880709, 0.14564876906930294]",0.1373308732174337,0.12100497305880709,3,96.61,3.3900000000000006
300,100,0.001,"[0.35487471133470533, 0.1546536008492112, 0.10575514080747962, 0.07816219349391758, 0.060025937411934134]","[0.22480565935373306, 0.1456169982627034, 0.11593651060014963, 0.10731724459677934, 0.09953617389313876]","[0.20670557054691016, 0.13308367693563924, 0.10104232411715203, 0.09040508680511267, 0.08487659440841526]",0.09953617389313876,0.08487659440841526,4,97.39,2.6099999999999994
300,100,0.0001,"[0.9435437175035477, 0.3795635575950146, 0.3077977683246136, 0.27153213626146316, 0.24564697675406932]","[0.4597985461354256, 0.34262065291404725, 0.29785148814320567, 0.2709833946824074, 0.25091969326138497]","[0.43737494587898257, 0.32038536593317984, 0.2774207964725792, 0.25190314650535583, 0.23235785603523254]",0.25091969326138497,0.23235785603523254,4,93.29,6.709999999999994
300,200,0.01,"[0.23456555595993997, 0.10439326047897339, 0.07976186291128397, 0.06012788053229451, 0.054434337193146345]","[0.159614637196064, 0.1158947141468525, 0.10528266496956348, 0.12175435028970241, 0.1428436167538166]","[0.13440107082948088, 0.1159582735132426, 0.09869942393153906, 0.11428692504763603, 0.12766550128348172]",0.10528266496956348,0.09869942393153906,2,96.87,3.1299999999999955
300,200,0.001,"[0.4373303344845772, 0.1964608733355999, 0.1401413966268301, 0.10742012785375118, 0.08531762738525868]","[0.25270667910575867, 0.1785881233215332, 0.1470388825237751, 0.12624170437455176, 0.11119592897593975]","[0.2336371386796236, 0.16135344734415413, 0.13133240259252488, 0.10940362528897822, 0.09640412136446684]",0.11119592897593975,0.09640412136446684,4,97.14,2.8599999999999994
300,200,0.0001,"[1.259933759212494, 0.5002814840078353, 0.3741020547747612, 0.3234320287704468, 0.29348221415281295]","[0.6460236084461212, 0.42154187262058257, 0.35193937838077544, 0.3171743705868721, 0.29399946123361587]","[0.6211541098356247, 0.39818583384156225, 0.3302819076180458, 0.2968515934795141, 0.27485702134668827]",0.29399946123361587,0.27485702134668827,4,92.22,7.780000000000001
500,50,0.01,"[0.24277454203553497, 0.14680371859367006, 0.12286328588158357, 0.1131812990259641, 0.10049046451018875]","[0.1755564774852246, 0.1944292529579252, 0.16790838031913155, 0.2096349693572847, 0.21081639554700815]","[0.16675261128897545, 0.18086787613106936, 0.15246646407964362, 0.21213432062857465, 0.20989022161707907]",0.16790838031913155,0.15246646407964362,2,95.94,4.060000000000002
500,50,0.001,"[0.26634740030393006, 0.10497640598518775, 0.06710756909707562, 0.047404474105220286, 0.03375978003512137]","[0.14783489136956632, 0.11843574769794941, 0.08786719908704982, 0.08121998991002329, 0.07661613703938201]","[0.1294311689690221, 0.10425053442537319, 0.07503624728065915, 0.06786338444551802, 0.07439422771785757]",0.07661613703938201,0.07439422771785757,4,97.81,2.1899999999999977
500,50,0.0001,"[0.6498461824804544, 0.29068065927177666, 0.23578177143260837, 0.19994767158851026, 0.17321921896189452]","[0.3437730932980776, 0.27234173491597174, 0.2313803641870618, 0.20686872158199548, 0.1846317978389561]","[0.320478528290987, 0.25162004539743066, 0.21255052062682808, 0.1865836300700903, 0.16527300568064673]",0.1846317978389561,0.16527300568064673,4,95.33,4.670000000000002
500,100,0.01,"[0.22377930509671567, 0.12498645645938813, 0.09550643766764551, 0.08528986970661208, 0.07877414076926652]","[0.17960402026772498, 0.13499534072354435, 0.1622788124717772, 0.16375131125561893, 0.18494875746313483]","[0.14827380151720718, 0.1252716928377049, 0.14370513698348078, 0.1262033017419162, 0.15615642137682698]",0.13499534072354435,0.1252716928377049,1,96.76,3.239999999999995
500,100,0.001,"[0.32023389510810374, 0.1299358079880476, 0.08406522907502949, 0.059759816147387027, 0.04468774979095906]","[0.1844151233881712, 0.12953808922320603, 0.0986667269282043, 0.09224552929401397, 0.08846592456102371]","[0.16323021372780203, 0.11013687933562323, 0.08432247803080826, 0.07755410123965703, 0.07733487368561327]",0.08846592456102371,0.07733487368561327,4,97.81,2.1899999999999977
500,100,0.0001,"[0.8404602327346802, 0.34171662205457687, 0.27724170665442943, 0.24043367135524749, 0.21342698927223683]","[0.4088836246728897, 0.3114686018228531, 0.26971649438142775, 0.244167867526412, 0.22066404469311238]","[0.3842294702678919, 0.28985212836414576, 0.2504595816321671, 0.2234074304345995, 0.20150570645928384]",0.22066404469311238,0.20150570645928384,4,94.36,5.640000000000001
500,200,0.01,"[0.22639628180861474, 0.10650190085917711, 0.07440004061535001, 0.06245675855129957, 0.06224346869811416]","[0.15626850232481956, 0.11188226625323296, 0.11789453148841858, 0.11886592105031013, 0.12756915401667357]","[0.14749956473708153, 0.10926754264626652, 0.11742504933616146, 0.10717389589059166, 0.11562802367581754]",0.11188226625323296,0.10926754264626652,1,97.38,2.6200000000000045
500,200,0.001,"[0.3912846305966377, 0.1641345762014389, 0.11166039897501469, 0.08249462132155895, 0.06331176244094967]","[0.21838119715452195, 0.15100246533751488, 0.12181293770670891, 0.10011973813176155, 0.0958501686155796]","[0.20012827172875405, 0.1343830766528845, 0.10733380131423473, 0.08767330149188637, 0.08459989554248751]",0.0958501686155796,0.08459989554248751,4,97.45,2.549999999999997
500,200,0.0001,"[1.1265910172462463, 0.43313547801971436, 0.33446564090251923, 0.28982742261886596, 0.26053314086794854]","[0.5452180594205857, 0.3749427133798599, 0.31775816917419436, 0.28680419057607653, 0.26387786835432053]","[0.5197651171684265, 0.3522360910475254, 0.2972408244013786, 0.2657334982231259, 0.24444551672786474]",0.26387786835432053,0.24444551672786474,4,93.0,7.0
